CustomerID,Name,Age,Gender,Email,Phone,City,Income,SignupDate,MembershipLevel
1,Brandon Russell,63.0,Male,henryrivera@wallace.com,001-148-855-3242,Delhi,61734.49,2021-09-08,Silver
2,Steven Johnson,20.0,Female,moorekeith@yahoo.com,512.212.2472,Mumbai,92992.64,2022-04-22,Gold
3,Evelyn Christian,46.0,Male,hernandezsusan@gmail.com,958.030.4082x359,Kolkata,108187.89,2021-09-29,Platinum
4,George Cook,52.0,Female,karen57@yahoo.com,001-477-952-4528x8698,Chennai,40131.52,2023-06-03,Silver
5,Aaron Graham,56.0,Female,georgetaylor@yahoo.com,001-364-873-8934,Bangalore,78198.01,2025-01-23,Platinum
6,Kyle Jones,35.0,Male,jimmycurtis@yahoo.com,+1-981-905-1751x8572,Chennai,50917.12,2024-02-02,Basic
7,Jerome Whitehead,37.0,Male,matthewsmelissa@martin.net,814-556-1706x0532,Chennai,77360.77,2024-12-02,Gold
8,Charles Tyler,60.0,Female,gmckinney@yahoo.com,706-007-7038x5366,Delhi,,2020-12-31,Gold
9,Thomas Berry,40.0,Female,nanderson@scott.biz,344-601-3232,Mumbai,99056.69,2024-09-04,Basic
10,Ryan Mack,51.0,Female,danielfranco@cohen-cruz.com,+1-251-775-9018,Bangalore,87769.18,2025-01-03,Gold
11,Robert Clark,50.0,Male,andreawillis@edwards-barnes.com,(550)862-4585x391,Chennai,87928.45,2021-02-02,Gold
12,Kelsey Pacheco,27.0,Male,kentwilson@copeland.com,+1-068-685-5456x9133,Mumbai,43232.9,2024-01-21,Silver
13,James Hammond,50.0,Male,roberta32@terrell.net,6263080456,Chennai,71284.27,2023-08-05,Basic
14,Melinda Little,64.0,Female,jonesmichelle@gmail.com,001-417-372-6354x44852,Bangalore,92580.74,2024-04-14,Gold
15,Stefanie Tucker,50.0,Female,dannyherring@mcguire.info,2020450912,Bangalore,82867.54,2024-10-14,Basic
16,Jade Johnson,43.0,Male,swilson@perez.com,+1-385-742-8266x3911,Delhi,61500.35,2022-04-14,Silver
17,Catherine Wilkins,37.0,Male,brittneybutler@hotmail.com,+1-726-150-0855,Delhi,92569.88,2022-10-02,Gold
18,Mary Jackson,32.0,Male,brianwilson@stewart.biz,221.855.6954,Kolkata,67344.92,2023-08-09,Basic
19,James Jones,54.0,Female,heather59@wise-king.info,(313)223-5508x2790,Bangalore,75325.72,2022-05-25,Gold
20,Kenneth Rogers,50.0,Male,garciathomas@gmail.com,139.745.4233x6158,Bangalore,42354.4,2021-07-16,Platinum
21,Brandon Fuller,34.0,Female,jenniferford@yahoo.com,+1-756-554-3816x7658,Kolkata,67584.2,2022-10-15,Basic
22,Harold Perez,22.0,Male,stevensbreanna@wallace-yates.biz,4659171784,Mumbai,64054.98,2022-11-23,Gold
23,Misty Stout,21.0,Male,xjohnson@foster-steele.net,881.931.9084x2941,Mumbai,87359.11,2020-12-04,Gold
